Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,122,91,300,41.15,0.000%,33.45601,172.30,5.26,5273.8
TOTAL,100,122,91,300,41.15,0.000%,33.45601,172.30,5.26,5273.8
